x,y,角度1,角度2,角度3
1016,1629,252,185,61
642,615,106,298,181
1660,2068,208,153,289
604,1194,153,239,321
1544,1194,81,18,168
845,2171,59,3,140
945,1019,167,65,281
514,1416,229,289,0
94,443,92,184,324
1251,373,0,269,205
956,90,306,198,53
654,1062,7,108,259
1506,1613,7,246,71
288,1258,115,22,250
645,478,165,334,114
86,453,257,306,144
268,1287,330,28,128
2370,2093,104,155,262
2157,1635,99,224,15
1859,142,281,211,330
1276,2443,140,52,335
87,1068,104,6,354
1101,2433,354,120,253
1408,808,216,309,58
2008,2253,349,46,126
1812,195,297,222,175
1559,2404,192,341,25
1098,558,235,179,318
1323,867,347,267,200
2297,1764,129,268,63
2476,1452,87,144,290
2126,1713,190,129,16
2349,46,85,196,23
325,1616,284,27,207
1219,511,200,341,58
611,1737,357,3,257
1936,886,141,337,78
434,1208,286,184,339
1100,2366,354,278,31
940,943,102,197,39
1287,1286,161,84,315
1519,1209,287,144,34
2053,387,2,277,216
224,165,13,74,255
1859,1408,84,240,33
581,2117,44,187,349
1717,1644,177,83,272
509,1246,31,134,251
906,934,1,337,86
419,608,79,215,154
2466,466,11,126,301
1467,2028,305,351,252
1711,1559,316,157,16
1123,141,256,167,86
610,2075,193,63,278
135,87,39,149,224
1686,2225,16,196,84
1209,749,9,91,291
279,906,235,305,122
2250,2220,215,279,19
2471,72,182,292,50
989,1308,24,341,260
2423,2016,316,29,240
2000,1643,217,352,267
370,267,182,329,272
877,2111,12,212,283
574,1513,21,142,344
2354,594,292,163,229
1568,2031,4,131,266
313,691,147,284,209
1817,1793,76,341,14
2215,2032,254,102,322
1578,877,296,354,28
1650,1546,218,324,149
541,2161,191,246,324
888,852,286,223,41
282,118,125,318,262
1686,252,186,22,315
1032,1352,111,237,347
2496,1768,181,58,7
2274,746,62,272,15
1313,1718,16,102,344
628,1080,67,147,264
1228,1172,56,6,196
209,1757,65,206,10
1766,279,168,11,120
1852,1323,151,197,54
91,147,329,188,85
2497,2255,109,284,213
393,1137,169,240,288
507,485,304,356,221
1526,76,65,249,140
201,443,180,288,65
1101,613,199,88,294
2025,1834,148,351,257
575,1894,12,219,103
792,722,355,101,13
73,1478,95,11,165
1291,312,13,339,117
767,1855,22,205,307
1404,484,74,3,154
1110,2374,8,84,180
1354,934,41,213,333
1462,2224,86,253,195
381,2096,80,6,306
923,4,235,37,94
1501,1973,340,231,23
60,1676,25,155,81
69,237,14,356,141
2312,610,126,63,238
2030,1449,344,10,188
2289,1005,217,71,265
213,1386,3,74,337
112,1649,23,301,200
1489,492,138,24,303
2324,133,65,135,294
2367,1964,84,177,285
868,2453,75,212,307
1345,2492,323,227,134
959,1008,67,325,16
1039,392,313,103,253
989,486,169,359,87
173,1872,231,351,96
1026,1236,327,56,144
2455,1718,99,293,34
1401,2443,131,353,51
1547,900,229,39,125
362,1,17,198,317
1387,1418,254,132,15
2049,960,141,249,356
1282,505,104,339,150
1509,163,9,341,100
1708,152,326,93,167
1,619,79,205,138
41,1100,70,212,124
899,2424,9,357,127
195,1816,118,270,183
451,945,248,104,341
441,1853,81,163,253
347,1209,129,303,4
596,265,108,281,179
567,2458,194,20,278
1108,2020,183,136,278
273,2187,186,36,90
295,2190,356,89,168
2284,867,265,354,39
1400,1725,160,34,318
414,1430,154,292,58
813,963,161,291,240
1896,585,311,236,59
822,477,144,283,82
1562,366,95,163,299
1818,585,47,100,347
715,2472,64,311,143
2302,1376,341,290,13
2310,1134,218,104,36
799,809,193,271,333
2095,1939,216,342,273
780,2342,48,205,301
932,693,125,236,63
1033,2499,171,51,103
433,744,225,304,95
857,2138,8,140,254
2019,1745,208,111,255
1126,1603,164,235,85
1386,1636,116,300,215
1076,2165,273,130,16
33,2322,230,58,148
693,2054,143,310,45
2026,1905,333,11,65
1188,1903,354,176,296
160,169,244,78,1
1448,667,170,94,17
1113,1023,350,5,108
669,462,167,272,224
2090,208,14,192,313
2304,1272,280,14,195
1547,1629,236,151,4
1914,1156,262,328,42
1051,1262,59,109,302
164,1622,354,56,222
1585,2117,227,21,360
2042,1641,87,359,252
2461,1118,352,299,4
924,1032,108,216,265
97,364,138,2,248
497,625,21,72,276
612,1752,51,347,241
368,1540,234,182,122
1668,1031,151,203,356
336,2376,353,10,194
2316,503,274,192,144
739,957,208,68,310
925,1947,253,181,0
1361,2395,176,19,289
440,2393,206,39,140
773,514,39,141,265
734,965,216,125,334
624,608,168,104,353
1823,1816,327,221,9
1609,2417,5,93,144
1642,1059,66,144,232
85,392,321,20,188
1521,140,103,333,3
2039,1926,288,18,360
114,817,68,192,255
65,202,144,3,233
888,1233,252,325,190
1080,719,234,23,128
